id,play_id,description,time,player_id,team,x,y
433,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,ball,ball,85.28,23.99
434,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,DeSean Jackson,home,92.37,22.75
868,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,Ryan Fitzpatrick,home,91.58,22.71
1303,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,Demar Dotson,home,90.34,24.73
1738,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,Ryan Jensen,home,89.98,23.51
2178,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,Mike Evans,home,91.82,24.1
2612,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,Alexander Marpet,home,90.17,22.64
3047,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,Donovan Smith,home,90.64,22.48
3481,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,Caleb Benenoch,home,89.65,24.36
3915,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,Kenneth Barber,home,90.88,25.31
4354,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,William Cross,home,92.4,23.44
4789,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,O'Terrius Howard,home,92.15,24.46
5227,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,Malcolm Jenkins,away,80.46,27.04
5661,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.3,Brandon Graham,away,83.99,26.12
